-236	-342	-100
-233	-318	-70
-228	-315	-113
-215	-295	-116
-201	-281	-115
-201	-247	-118
-201	-231	-145
-210	-227	-150
-196	-207	-164
-176	-172	-146
-159	-161	-150
-149	-120	-120
-134	-115	-173
-153	-86	-207
-124	-62	-212
-96	-68	-198
-105	-52	-229
-109	-83	-274
-100	-79	-281
-118	-79	-293
-83	-102	-241
-89	-179	-191
-99	-200	-117
-95	-200	-59
-77	-229	-26
-68	-223	13
-27	-181	85
-15	-144	101
-24	-155	157
-17	-141	206
-21	-135	231
-35	-134	136
-53	-114	82
-97	-118	128
-98	-119	134
-142	-122	107
-128	-120	76
-120	-141	56
-133	-136	14
-120	-137	-2
-89	-170	-18
-98	-271	-42
-32	-306	-94
-19	-341	-153
16	-370	-155
55	-388	-187
90	-397	-191
174	-411	-256
251	-419	-324
290	-397	-392
332	-360	-434
403	-306	-385
428	-276	-317
460	-222	-291
474	-196	-272
479	-233	-223
484	-216	-171
484	-252	-149
434	-231	-164
406	-208	-213
353	-227	-197
331	-287	-162
263	-327	-148
196	-345	-161
106	-328	-146
31	-342	-67
-12	-392	-33
-44	-368	75
-109	-385	73
-143	-403	98
-196	-428	161
-194	-459	211
-164	-468	190
-173	-425	31
-188	-482	-57
-119	-436	-52
-120	-520	-116
-106	-547	-80
-83	-523	-194
-61	-500	-318
-63	-541	-274
-28	-553	-255
-8	-528	-223
-14	-577	-241
-15	-586	-278
7	-596	-263
39	-597	-285
28	-592	-294
2	-581	-292
-59	-617	-343
-59	-662	-229
-33	-626	-101
-62	-579	-82
-92	-528	-41
-105	-483	-32
-121	-444	57
-116	-480	88
-149	-478	62
-188	-570	136
-198	-516	192
-208	-510	343
-221	-538	311
-217	-465	324
-212	-487	204
-196	-436	236
-188	-411	174
-189	-412	163
-153	-343	152
-116	-293	14
-140	-300	-82
-143	-296	-116
-152	-353	-113
-172	-387	-93
-184	-350	-161
-164	-398	-240
-174	-446	-177
-198	-415	-35
-202	-411	-7
-177	-316	69
-166	-255	-8
-158	-240	-40
-158	-230	-67
-220	-291	0
-298	-324	-38
-394	-309	-116
-485	-269	-156
-562	-189	-83
-603	-164	0
-763	-148	84
-878	-175	32
-988	-120	1
-996	-124	-58
-1015	-101	11
-996	-64	80
-1026	-23	62
-1025	-19	46
-1055	36	69
-955	28	199
-873	7	231
-910	-43	209
-928	33	204
-844	89	237
-808	11	312
-914	84	302
-883	119	212
-920	78	172
-1048	70	136
-1013	40	105
-864	7	142
-918	8	223
-986	122	232
-859	87	253
-844	64	232
-898	61	125
-902	46	115
-890	22	157
-963	25	83
-947	4	80
-660	-61	140
-352	-261	163
-448	-224	216
-367	-103	148
-39	-154	204
72	-249	150
118	-212	-28
210	-288	12
259	-246	153
290	-381	265
393	-348	293
448	-359	87
464	-355	-28
535	-386	20
523	-472	28
450	-480	51
425	-519	-9
456	-481	-60
387	-406	-217
212	-407	-292
-6	-286	-224
-227	-204	-162
-479	-138	-183
-694	-191	-250
-855	-178	-230
-912	-117	-185
-977	-96	-105
-994	-56	-70
-935	-84	-44
-787	-132	-50
-656	-207	-30
-514	-204	85
-298	-108	169
-145	-321	182
-22	-238	100
141	-283	143
283	-393	128
278	-426	99
337	-464	134
297	-433	96
262	-427	51
202	-397	-2
162	-345	-34
78	-277	-87
-13	-314	-106
-94	-346	-68
-161	-283	-45
-157	-347	-85
-110	-450	-193
-86	-420	-238
-12	-355	-257
70	-379	-115
118	-369	-132
117	-481	-147
133	-503	-183
139	-557	-139
168	-589	11
160	-439	97
55	-405	105
-26	-509	5
-82	-474	-20
-67	-368	-40
-171	-353	-20
-220	-225	-31
-259	-243	-38
-211	-361	-65
-238	-390	-180
-202	-463	-117
-138	-540	-19
-72	-407	25
2	-473	-16
118	-273	-121
158	-313	-93
203	-366	-21
118	-462	-90
0	-527	-90
-35	-403	-81
-16	-383	-14
-67	-557	27
-168	-569	-100
-293	-565	-74
-320	-523	75
-317	-465	154
-338	-519	126
-323	-509	214
-274	-493	230
-301	-475	356
-212	-384	445
-74	-383	497
-65	-282	449
23	-161	360
-13	-277	349
-99	-396	340
-113	-369	304
-109	-419	288
-165	-308	77
-205	-315	-11
-238	-318	0
-373	-245	-55
-430	-166	-27
-441	-337	-41
-490	-431	-155
-473	-419	-210
-445	-429	-230
-449	-411	-192
-383	-274	-25
-298	-239	-14
-280	-283	-44
-247	-391	-98
-194	-309	4
-222	-417	152
-241	-312	162
-236	-378	149
-205	-457	66
-213	-302	72
-231	-266	12
-262	-122	111
-282	-234	83
-318	-282	109
-377	-156	105
-366	-52	212
-293	-20	327
-321	-10	294
-344	-23	122
-427	-76	44
-440	-58	-106
-425	-85	49
-362	-29	58
-423	-182	22
-420	-52	-56
-446	15	-76
-416	-44	-4
-410	-81	19
-449	-140	13
-546	-218	-75
-540	-168	-188
-570	-46	-194
-529	15	-90
-525	115	-145
-639	-33	-217
-681	-130	-228
-616	-127	-143
-652	-208	-92
-671	-303	-32
-675	-206	194
-600	-84	327
-619	-150	356
-541	-144	483
-538	-140	626
-567	-78	406
-646	-78	320
-590	26	236
-553	-25	105
-609	-51	14
-664	42	58
-667	-93	1
-685	-155	-343
-729	-346	-481
-729	-286	-468
-698	-242	-387
-744	-157	-387
-822	-106	-469
-727	-84	-406
