81
4	2	657
25	-14	766
46	-132	812
97	54	939
82	-76	962
126	15	781
182	217	698
131	98	438
-35	0	660
97	43	862
85	275	486
-13	-138	259
39	128	127
-42	-258	80
-168	-58	-255
-83	186	-311
-186	-200	-342
75	76	-170
-105	-30	-207
-30	-48	-65
-40	-76	-160
1	-13	-474
18	106	-747
-41	76	-716
-41	11	-370
-15	98	-374
-101	-13	-344
-21	-140	-159
112	81	-17
-18	27	-141
-20	-8	-163
-32	-42	-238
-61	25	-172
5	-31	-217
-9	-78	-169
-58	-23	-223
-6	68	-46
72	-64	361
113	128	225
7	-102	-210
-51	-52	-402
33	82	-513
-46	-114	-356
-43	-85	-435
-37	-60	-501
-29	-98	-269
35	42	-107
31	-90	-120
-123	-41	-332
-8	-82	-126
65	-51	90
110	146	-116
29	187	-319
124	40	-394
63	23	-266
57	176	-338
-32	-154	-451
5	139	-906
-39	-120	-700
38	-240	-221
96	168	-144
-12	-34	-46
66	-103	-237
117	246	-451
30	101	-391
53	-253	-13
54	-91	-60
-20	-138	-317
30	-4	-532
98	-3	-328
165	76	162
4	16	-221
64	-112	-100
117	-81	49
117	-205	236
10	-197	488
143	21	707
53	-191	744
32	-296	626
54	-165	637
190	-160	575
69	-191	589
117	207	520
183	-70	773
88	-50	553
82	-72	715
110	-71	813
141	-194	512
-10	-52	228
63	-122	299
105	-168	267
-13	146	-86
-130	-164	153
86	-40	648
74	-165	328
-142	-28	-499
3	106	-321
181	248	-218
86	68	-444
22	84	-459
43	253	-480
-36	-86	-201
38	-24	47
20	167	-128
-51	-79	-244
-35	-324	-79
18	-31	-42
82	4	11
20	12	-560
-60	201	-836
60	96	-136
96	-46	176
-32	-205	250
30	-159	-18
21	-73	-507
-2	-106	-213
142	0	174
-43	-30	-53
-27	33	-215
-10	-58	-405
53	89	-48
77	-98	458
71	-18	148
-28	-1	-87
93	30	19
32	-134	132
28	-100	225
76	46	122
-6	-8	-150
37	-64	123
126	2	431
143	82	540
42	133	179
50	-21	-45
-8	50	-60
80	-174	165
31	-154	143
-12	-49	-201
-20	-143	-167
58	-18	-15
25	-126	-109
-49	-227	-256
-64	-3	-266
25	-67	26
94	-23	89
66	5	-315
3	189	-593
91	68	-454
27	178	-325
11	2	-161
-89	-146	-225
88	3	-44
104	-43	78
16	196	250
135	-23	644
87	36	377
20	165	-100
21	68	-305
89	-83	70
72	196	182
57	2	87
33	-61	0
161	103	231
52	-118	395
43	-72	205
6	0	-79
-43	-61	-168
58	-124	125
79	-249	257
-42	20	-300
-44	59	-403
28	-118	-501
12	-16	-408
46	-41	-150
27	-203	-308
11	-34	-542
17	86	-809
45	50	-721
90	-54	-376
34	71	-540
-87	103	-716
-52	-231	-391
115	-16	-240
13	93	-367
34	-189	-124
89	-55	110
86	132	142
141	-11	163
133	-171	123
13	-3	371
170	-133	631
86	-124	575
106	-81	709
131	21	1004
165	-185	914
43	-117	734
31	-37	810
77	-193	1052
147	-286	902
-59	-128	662
36	117	559
35	-213	739
4	-81	762
22	-7	592
-70	-234	384
49	37	338
26	-62	197
-17	18	292
2	32	299
24	-156	166
-34	-24	-74
6	210	-322
-6	158	-301
51	100	-233
-53	172	-432
-17	243	-522
-8	258	-586
-46	81	-550
-68	-50	-467
-57	-123	-409
-70	94	-811
-102	27	-1009
-23	207	-838
60	245	-563
-28	88	-554
-150	184	-1034
-56	217	-874
74	101	-501
70	108	-419
-24	313	-745
-11	158	-977
20	56	-561
81	168	-480
4	96	-486
-22	148	-725
3	55	-491
104	86	-66
71	86	-31
78	160	35
87	143	130
139	150	153
-32	21	114
77	-96	459
100	0	658
145	-21	662
39	-46	518
127	122	608
142	100	916
75	-69	864
37	-166	725
38	-159	630
107	146	932
149	-168	1102
-45	-205	772
55	67	665
-34	-179	243
30	14	60
-62	-80	94
20	-53	58
-30	60	-75
-3	38	-194
10	155	-205
17	-24	290
25	-32	110
-88	115	-643
-168	33	-881
71	7	-765
-50	17	-690
-1	135	-549
-30	235	-502
-5	-36	-447
-54	14	-554
8	60	-419
-10	-66	-168
36	87	-383
-91	157	-842
-21	-17	-653
0	-118	-107
-2	-140	63
-87	66	127
-24	-234	31
-35	-92	-27
68	-150	383
26	-345	589
47	72	537
-73	-80	130
88	69	52
55	179	370
-36	-110	737
-12	-229	1040
149	92	872
6	50	409
146	131	262
-49	89	636
84	155	668
-75	-5	105
18	17	-63
29	279	-73
11	252	-2
20	135	167
-33	238	-30
-106	0	-43
14	-69	-66
10	330	-198
-117	-70	-348
-19	13	-401
-13	262	-468
-8	114	-455
8	59	-156
-82	-26	-135
4	104	-132
-13	144	-168
-58	-17	-201
20	105	-24
13	81	-32
-57	19	-21
-39	129	-195
-42	-69	-165
-6	72	98
81	70	278
-27	-7	147
-10	62	35
83	115	94
65	143	231
-84	-45	250
22	-46	174
-37	27	-38
-7	85	-169
4	83	-39
60	28	43
-28	-25	188
15	222	257
12	38	-124
-78	-57	-247
9	183	-109
55	107	17
-32	25	-107
-24	266	-368
92	230	-103
4	50	-94
-56	90	-40
17	100	215
77	13	137
32	40	-165
50	188	-93
128	132	-39
-44	16	-25
-4	132	35
-24	21	17
5	-12	197
118	189	112
-31	-96	160
-17	-168	337
74	30	336
-40	70	-20
-63	-47	112
45	-39	238
-78	13	123
-46	59	24
0	-153	240
-12	204	152
-125	-78	196
24	104	341
0	32	224
-85	-63	-170
-190	19	-525
-2	-148	80
-139	-81	164
-68	-46	-80
-143	99	-79
8	32	-285
-234	-48	37
95	17	669
-41	-177	437
-84	-145	-260
-58	38	-619
-9	120	-14
3	-167	492
-66	-20	205
-119	209	-190
-57	-28	-345
-21	215	-440
-140	70	-165
61	120	115
-120	60	-495
-99	265	-686
58	377	-420
17	64	-443
-225	88	-230
-125	131	-44
36	-109	-52
7	136	-356
-74	48	-196
-11	102	531
194	177	747
-102	-147	-182
-147	-12	-363
174	60	115
57	66	234
-321	-197	359
24	-164	961
68	-253	1013
-98	-187	577
-178	-349	860
19	-121	1185
-18	3	870
-51	-23	516
70	10	598
64	-63	887
-3	152	907
24	-171	695
-128	-110	418
39	40	570
62	11	598
-88	64	370
-97	187	548
14	42	445
-31	52	-200
-146	300	-328
-77	44	-156
-63	80	-296
-188	457	-544
-116	173	-390
25	19	-129
-135	68	-219
-138	384	-175
-116	-191	-198
1	120	-345
-119	316	-487
74	131	-392
-50	365	-500
-85	-56	-712
-163	238	-847
-120	122	-717
-80	14	-447
40	31	-136
-81	-78	-450
-71	97	-522
-93	-71	-252
82	246	-141
-160	-69	-268
-123	121	-166
31	-1	-92
-65	-216	-302
-92	136	-333
-108	-49	-138
135	-117	148
-185	15	38
-24	24	290
-42	-97	208
-117	-28	181
-126	68	128
111	212	191
-105	-26	-225
-17	206	-6
-12	-209	222
-3	-146	110
-109	48	-375
-104	123	-296
97	16	308
26	-29	396
14	123	103
-117	-151	-143
90	164	163
-96	397	-94
48	106	-162
-108	149	-186
108	220	-454
-99	96	-656
13	209	-285
111	-146	-44
-28	-11	-431
-35	146	-739
-110	137	-870
-84	-59	-142
2	129	239
6	42	-162
-121	-45	-790
-73	305	-657
-116	48	378
20	-236	1031
15	29	570
-59	126	4
36	-210	41
15	95	430
54	59	650
-103	-328	348
-48	-24	407
-43	66	709
151	-22	1053
-185	-82	680
-66	-205	557
-81	43	541
80	126	298
-106	97	275
-40	22	390
-7	0	202
-135	-166	-1
-154	27	-149
41	208	163
14	-122	264
-23	405	-8
-132	118	-133
-89	-47	-469
-99	12	-568
-91	-16	-300
-133	158	-68
-170	-170	-311
-157	73	-688
-131	171	-342
-12	-17	208
-65	-27	88
-169	87	-333
-25	36	-394
-53	-45	-341
-166	46	-25
30	38	120
-117	38	129
-91	-120	191
28	12	228
-194	52	176
-116	-135	325
15	-62	299
-117	-15	-160
-27	-99	154
-58	4	499
-27	23	536
-146	-135	120
-166	28	259
-76	-59	458
73	-193	553
-78	154	345
-29	-72	178
0	-10	298
-52	211	310
-67	-171	362
-38	4	288
-203	-23	106
-57	-159	206
-42	-22	279
-123	41	281
-18	145	435
-5	-67	330
-35	43	215
-66	93	-18
-18	-67	-52
-96	95	-32
-150	-129	-95
-165	-32	245
0	181	470
-97	-193	140
-93	93	266
-15	209	435
-70	-133	332
-62	18	200
-53	138	-78
-111	-162	-14
-86	181	203
-86	123	526
-101	-70	694
20	157	397
-78	-162	146
-18	183	-70
-65	-56	-93
-144	58	76
-30	121	122
-99	12	-99
-216	-82	-102
-66	46	308
-108	70	113
-164	5	-75
10	79	-355
-94	-75	-437
-159	-242	-118
-44	174	-66
-219	-75	-393
-143	-119	-295
50	53	-121
-198	-181	-483
-138	-57	-203
-77	-81	132
14	-244	-67
-84	-120	-429
-25	71	-505
-152	-262	-99
-4	-102	202
-175	-67	-7
-78	-155	-215
-34	-112	-68
-48	-5	-195
-112	-54	7
27	-116	218
-80	-79	83
37	-16	157
12	-77	213
-60	-207	122
-63	247	203
-27	143	-52
-82	-250	-70
71	46	468
-17	-140	447
-121	-120	203
9	121	186
-19	-73	287
28	57	437
12	13	196
-5	-100	99
3	30	45
43	118	-1
-37	-110	-87
-22	-15	-87
-34	50	-132
-19	12	27
-7	-47	163
-4	-52	347
36	204	268
0	18	147
17	4	-108
-67	-25	-51
-22	45	-163
-28	146	-269
14	-21	-216
4	111	-167
-11	-35	12
65	111	58
-45	0	-32
-2	-94	9
44	114	-84
-12	2	-327
-93	-164	-245
-20	73	-71
-6	76	-108
-17	-37	-166
-42	-283	-60
7	89	42
53	-195	187
-72	-211	15
-21	211	-110
76	-155	8
13	-230	14
-61	126	44
0	-98	140
73	-196	19
75	51	185
17	21	102
49	-113	302
78	-63	193
23	67	212
129	110	102
130	-57	195
53	38	101
41	85	1
-17	-50	-64
-9	-87	391
149	156	316
0	-85	117
-10	127	23
37	193	168
58	48	346
14	-92	339
185	216	203
-32	13	87
21	-183	327
77	265	301
11	-75	127
22	-120	321
159	185	418
-29	-174	319
72	28	429
58	104	406
19	-113	385
39	-56	489
-86	-69	312
65	227	326
55	47	220
-91	-214	127
0	98	424
40	-117	207
-70	-254	226
-36	-16	313
40	-186	212
-80	-108	6
-109	-170	80
-26	-186	338
-31	-47	175
-30	-113	170
-32	51	61
-109	54	18
6	-183	151
-106	-43	-40
37	183	-63
-102	-245	-114
46	-249	149
-145	-97	59
20	-62	93
-139	-34	215
35	-82	225
92	17	123
7	-34	-59
-162	-51	258
113	209	318
46	-61	286
12	-26	-80
-65	-35	15
117	51	316
-70	5	-122
-85	-91	-189
-99	97	29
16	43	317
-137	-82	366
4	-14	222
-40	-49	281
4	-84	265
-17	59	232
-22	297	76
-110	47	-41
-29	60	-200
-54	173	-361
-31	65	19
-89	-110	146
-63	-8	132
-108	169	183
-72	76	385
-146	-62	110
-126	109	30
-284	194	-47
-208	102	41
-141	34	149
-272	138	338
-195	234	413
-234	15	190
-296	138	95
-364	2	188
-373	174	377
-405	255	476
-306	124	293
-356	205	318
-394	91	123
-373	-172	564
-228	104	375
-491	12	9
-338	-38	-24
-368	27	269
-281	202	351
-392	-57	285
-367	60	163
-423	67	173
-250	18	538
-202	23	323
-328	150	-95
-395	-20	46
-203	106	356
-316	77	203
-286	-13	22
-313	229	45
-349	-129	-3
-273	159	23
-231	61	-54
-283	-199	-158
-397	99	-174
-345	114	-62
-313	-151	254
-300	-59	253
-173	236	40
-310	97	-208
-257	-61	-212
-183	99	218
-225	84	-28
-285	-111	-330
-315	221	-342
-170	74	48
-254	-171	61
-244	-3	-57
-264	-77	-61
-225	-46	32
-204	120	247
-216	70	244
-216	128	11
-234	-53	-249
-320	29	-93
-161	16	241
-195	0	126
-191	131	8
-290	-147	-101
-256	34	-25
-243	166	229
-248	-319	314
-247	85	90
-257	210	254
-165	-138	404
-191	-90	556
-264	140	80
-237	51	162
-175	-231	209
-327	27	225
-149	94	239
-187	-182	-115
-339	-15	-216
-191	7	69
-107	-75	259
-278	-35	99
-273	45	-23
-161	119	149
-250	-125	441
-190	-83	590
-190	175	398
-197	51	170
-277	-101	36
-154	246	632
-108	-79	482
-135	-116	120
-300	170	-199
-251	21	-2
-159	-49	537
-246	9	432
-280	-102	158
-297	75	261
-233	232	621
-170	-41	915
-166	124	703
-288	169	329
-227	172	199
-218	22	103
-211	91	444
-273	-100	468
-317	-139	175
-398	152	15
-390	-120	307
-201	18	874
-194	105	642
-398	9	51
-226	-65	72
-184	-99	-158
-222	245	233
-203	-28	278
-165	242	-281
-320	281	-692
-326	-48	-411
-273	-92	240
-196	58	138
-318	81	-295
-231	158	-211
-136	212	177
-193	228	265
-236	-101	268
-206	-15	-201
-321	190	-580
-120	146	-257
-10	259	145
-109	348	96
-95	124	-168
