34	-232	-74
1	644	-43
101	641	-245
81	656	-414
145	438	-366
56	456	-341
51	619	-239
73	546	-91
115	438	-131
160	399	-253
123	414	-287
131	447	-105
175	436	2
130	509	-23
184	607	32
172	525	12
111	465	5
135	413	102
121	617	131
34	663	-13
107	687	-66
86	630	-54
76	648	-19
73	567	55
57	566	100
165	677	155
219	524	147
142	546	-14
114	527	56
83	438	245
40	521	182
2	583	93
-63	519	41
-31	617	27
-69	648	105
-71	522	151
-48	591	102
-16	612	-25
39	624	24
85	564	153
40	489	99
5	560	-67
2	536	-107
22	547	9
-7	553	187
-13	558	304
-114	469	159
-100	564	93
4	458	186
0	505	194
-24	587	171
-14	399	129
2	415	23
79	409	-117
26	370	-144
41	418	-45
20	331	33
28	379	14
-37	266	-130
25	228	-114
43	327	-9
118	341	68
20	273	58
26	229	-74
110	204	-83
146	297	-98
175	377	23
162	250	169
124	279	39
97	240	-77
154	197	-95
142	153	-46
83	200	36
69	160	75
81	265	177
85	183	-9
135	222	29
214	404	155
172	458	210
102	358	239
146	378	299
156	439	272
254	410	202
251	372	135
205	457	-3
98	308	-89
89	176	-204
100	201	-372
167	363	-326
224	288	-151
199	245	12
110	350	85
137	408	58
138	371	71
226	386	61
181	470	14
133	528	11
93	404	-66
97	422	-150
162	462	-261
197	494	-306
174	347	-197
127	235	-50
132	337	2
110	284	-50
156	280	-22
156	340	56
92	191	69
17	200	33
43	342	-164
99	292	-168
166	231	-120
169	199	-204
96	325	-194
94	247	-127
82	129	-11
146	144	102
99	159	104
97	7	69
-24	-28	-36
-70	97	-1
63	150	186
81	52	170
37	-92	65
85	59	106
111	96	21
105	90	7
156	98	-114
69	10	-142
-9	-11	-277
40	137	-289
74	105	-166
81	65	6
57	73	118
-7	118	42
-35	34	48
64	25	77
64	144	-3
-41	103	-77
0	198	-193
-49	277	-319
0	153	-431
66	201	-502
93	259	-452
96	170	-303
-10	101	-328
-60	203	-355
59	80	-295
34	71	-363
-37	27	-281
-18	-18	-158
-18	132	-346
55	174	-501
171	127	-403
140	174	-304
109	195	-104
87	153	-72
31	163	-48
59	164	-43
172	58	106
146	22	143
106	140	-68
63	218	-114
109	140	-16
168	7	124
160	156	30
55	146	-169
22	124	-159
58	189	-52
36	144	6
-31	31	20
-9	5	-14
-22	166	125
49	156	186
85	-3	279
98	76	174
69	100	12
51	124	-106
126	96	-1
114	4	7
83	50	-63
67	-17	-199
94	69	-228
50	110	-39
48	5	132
29	40	61
11	32	-165
51	92	-196
106	51	-190
106	-80	-216
69	-81	-217
54	136	-288
111	89	-344
149	11	-250
120	17	-119
66	66	99
-52	-42	10
-14	-14	112
45	-20	188
64	-75	204
26	-78	90
-33	-6	-117
-51	74	-75
52	-33	34
84	-41	-85
8	-7	-230
41	146	-456
-52	52	-725
-133	-50	-609
-10	-48	-365
-132	-60	-424
-194	-44	-653
-143	7	-763
-42	64	-702
-32	-35	-545
-38	-24	-538
-111	-11	-665
-20	-36	-691
122	-41	-628
254	-79	-568
166	55	-740
58	75	-760
71	-6	-559
108	83	-359
176	69	-328
92	-6	-445
31	143	-453
17	86	-217
113	-20	-198
129	-49	-332
185	-58	-454
164	-3	-273
210	12	8
175	-40	57
77	57	-57
154	106	-35
106	-101	27
133	-73	64
43	-40	-30
-21	-26	-69
76	57	-98
155	-22	-61
178	-12	-146
60	-11	-283
-23	-62	-158
70	64	-5
117	-126	7
80	-109	-188
62	-25	-345
68	77	-212
99	14	-73
91	-68	-119
49	32	-393
89	60	-423
128	-24	-269
139	-79	-281
145	69	-300
180	50	-447
178	-44	-530
192	-99	-264
210	144	-165
40	-11	-321
21	-51	-340
119	71	-376
96	-46	-491
49	-101	-348
50	51	-61
68	127	-72
94	14	-226
249	29	-145
234	13	-84
127	-24	152
84	-56	151
37	-62	123
83	-62	102
162	-76	284
115	-34	199
9	106	21
7	39	-4
82	-16	-8
135	105	96
126	-72	122
-50	-51	65
30	-97	32
98	-123	101
132	12	-104
104	-14	89
69	-15	96
-32	108	-163
91	67	-213
92	-35	-474
72	-30	-520
17	-98	-435
-12	-40	-387
84	148	-390
170	-64	-430
145	-143	-679
172	115	-629
58	7	-534
25	-159	-443
105	13	-467
121	-4	-490
78	-3	-617
86	86	-348
26	57	-227
-12	48	-252
35	124	-256
102	29	-346
117	22	-419
114	110	-397
36	75	-561
71	126	-519
59	57	-287
51	-111	-117
-48	-25	-81
-127	24	-133
-178	-90	-51
-145	-8	171
-226	-24	213
-357	-10	110
-385	91	-23
-369	75	-82
-421	39	-283
-512	36	-172
-545	63	104
-594	-35	170
-622	31	92
-675	-53	4